step,epoch,train_loss
49,0,0.0631762370467186
99,0,0.05764670670032501
149,1,0.05512888357043266
199,1,0.05253275856375694
249,2,0.05210518464446068
299,2,0.047313034534454346
349,3,0.04956495761871338
399,3,0.04947715252637863
449,4,0.05126432329416275
499,4,0.04452986642718315
549,5,0.046394530683755875
599,5,0.04701812192797661
649,6,0.04635682329535484
699,6,0.04524436965584755
749,7,0.04457445442676544
799,7,0.04607979580760002
849,8,0.04185523837804794
899,8,0.04691504314541817
949,9,0.04468512535095215
999,9,0.04486808925867081
1049,10,0.04080114886164665
1099,10,0.04203455522656441
1149,11,0.04194636642932892
1199,11,0.04540122672915459
1249,12,0.03923903405666351
1299,12,0.03943685442209244
1349,13,0.043365221470594406
1399,13,0.042788729071617126
1449,14,0.0425696037709713
1499,14,0.04124835133552551
1549,15,0.040950603783130646
1599,15,0.04181576520204544
1649,16,0.03986351191997528
1699,16,0.043301187455654144
1749,17,0.03846583142876625
1799,17,0.040831342339515686
1849,18,0.03968233987689018
1899,18,0.040277354419231415
1949,19,0.03911806643009186
1999,19,0.03882535919547081
