step,epoch,train_loss
49,0,0.041529640555381775
99,0,0.041391771286726
149,1,0.0398089662194252
199,1,0.04171571135520935
249,2,0.03913969174027443
299,2,0.042094435542821884
349,3,0.04071296006441116
399,3,0.04005562141537666
449,4,0.03876926377415657
499,4,0.04192600026726723
549,5,0.04224054887890816
599,5,0.04010656103491783
649,6,0.03841403126716614
699,6,0.04010080546140671
749,7,0.03958439454436302
799,7,0.039807625114917755
849,8,0.040486276149749756
899,8,0.03578461334109306
949,9,0.03827065974473953
999,9,0.043813496828079224
1049,10,0.037542156875133514
1099,10,0.04462359845638275
1149,11,0.03769227862358093
1199,11,0.03927230462431908
1249,12,0.04054546728730202
1299,12,0.041312314569950104
1349,13,0.040217116475105286
1399,13,0.04058190807700157
1449,14,0.03819817304611206
1499,14,0.04090556129813194
1549,15,0.03548169136047363
1599,15,0.03761584684252739
1649,16,0.0425424687564373
1699,16,0.04008157551288605
1749,17,0.03878573700785637
1799,17,0.03841172158718109
1849,18,0.03849062696099281
1899,18,0.03888798877596855
1949,19,0.03850545361638069
1999,19,0.03508749604225159
