train_loss,step,epoch
0.06685170531272888,49,0
0.0612606443464756,99,0
0.056915681809186935,149,1
0.05451611429452896,199,1
0.05118356645107269,249,2
0.05036606267094612,299,2
0.046777110546827316,349,3
0.044073332101106644,399,3
0.04797878488898277,449,4
0.04267476126551628,499,4
0.044123124331235886,549,5
0.04418228939175606,599,5
0.041462112218141556,649,6
0.041876647621393204,699,6
0.0425184927880764,749,7
0.040624234825372696,799,7
0.039766982197761536,849,8
0.042602863162755966,899,8
0.042917460203170776,949,9
0.04062493145465851,999,9
0.04446861520409584,1049,10
0.04164591431617737,1099,10
0.04085880517959595,1149,11
0.039589233696460724,1199,11
0.04209550842642784,1249,12
0.04243546351790428,1299,12
0.04087964817881584,1349,13
0.039909373968839645,1399,13
0.040487729012966156,1449,14
0.040383800864219666,1499,14
0.037806496024131775,1549,15
0.03848868981003761,1599,15
0.04184524342417717,1649,16
0.04101114347577095,1699,16
0.04098181799054146,1749,17
0.040403854101896286,1799,17
0.039856377989053726,1849,18
0.03985156491398811,1899,18
0.04184351861476898,1949,19
0.0428289957344532,1999,19
